Date,Station,Category,Value
2008-01-03,Paya Lebar,Max Humidity,100.0
2008-01-08,Paya Lebar,Max Humidity,100.0
2008-01-08,Paya Lebar,Max Humidity,100.0
2008-01-09,Paya Lebar,Max Humidity,100.0
2008-01-09,Paya Lebar,Max Humidity,100.0
2008-01-09,Paya Lebar,Max Humidity,100.0
2008-01-09,Paya Lebar,Max Humidity,100.0
2008-01-09,Paya Lebar,Max Humidity,100.0
2008-01-09,Paya Lebar,Max Humidity,100.0
2008-01-09,Paya Lebar,Max Humidity,100.0
2008-01-11,Paya Lebar,Max Humidity,100.0
2008-01-12,Paya Lebar,Max Humidity,100.0
2008-01-12,Paya Lebar,Max Humidity,100.0
2008-01-12,Paya Lebar,Max Humidity,100.0
2008-01-12,Paya Lebar,Max Humidity,100.0
2008-01-12,Paya Lebar,Max Humidity,100.0
2008-01-12,Paya Lebar,Max Humidity,100.0
2008-01-12,Paya Lebar,Max Humidity,100.0
2008-01-13,Paya Lebar,Max Humidity,100.0
2008-01-13,Paya Lebar,Max Humidity,100.0
2008-01-13,Paya Lebar,Max Humidity,100.0
2008-01-13,Paya Lebar,Max Humidity,100.0
2008-01-13,Paya Lebar,Max Humidity,100.0
2008-01-13,Paya Lebar,Max Humidity,100.0
2008-01-13,Paya Lebar,Max Humidity,100.0
2008-01-13,Paya Lebar,Max Humidity,100.0
2008-01-14,Paya Lebar,Max Humidity,100.0
2008-01-14,Paya Lebar,Max Humidity,100.0
2008-01-14,Paya Lebar,Max Humidity,100.0
2008-01-14,Paya Lebar,Max Humidity,100.0
2008-01-14,Paya Lebar,Max Humidity,100.0
2008-01-14,Paya Lebar,Max Humidity,100.0
2008-01-15,Paya Lebar,Max Humidity,100.0
2008-01-15,Paya Lebar,Max Humidity,100.0
2008-01-16,Paya Lebar,Max Temperature,34.0
2008-01-17,Paya Lebar,Max Temperature,34.0
2008-01-28,Paya Lebar,Max Humidity,100.0
2008-01-28,Paya Lebar,Max Humidity,100.0
2008-01-30,Paya Lebar,Max Humidity,100.0
2008-02-01,Paya Lebar,Max Humidity,100.0
2008-02-01,Paya Lebar,Max Humidity,100.0
2008-02-01,Paya Lebar,Max Humidity,100.0
2008-02-01,Paya Lebar,Max Humidity,100.0
2008-02-01,Paya Lebar,Max Humidity,100.0
2008-02-01,Paya Lebar,Max Humidity,100.0
2008-02-01,Paya Lebar,Min Temperature,23.0
2008-02-01,Paya Lebar,Min Temperature,23.0
2008-02-01,Paya Lebar,Min Temperature,23.0
2008-02-01,Paya Lebar,Min Temperature,23.0
2008-02-02,Paya Lebar,Max Humidity,100.0
2008-02-02,Paya Lebar,Max Humidity,100.0
2008-02-02,Paya Lebar,Max Humidity,100.0
2008-02-02,Paya Lebar,Max Humidity,100.0
2008-02-02,Paya Lebar,Max Humidity,100.0
2008-02-03,Paya Lebar,Max Humidity,100.0
2008-02-03,Paya Lebar,Max Humidity,100.0
2008-02-04,Paya Lebar,Max Humidity,100.0
2008-02-04,Paya Lebar,Max Humidity,100.0
2008-02-04,Paya Lebar,Max Humidity,100.0
2008-02-16,Paya Lebar,Max Humidity,100.0
2008-02-24,Paya Lebar,Max Humidity,100.0
2008-02-24,Paya Lebar,Max Humidity,100.0
2008-02-24,Paya Lebar,Max Humidity,100.0
2008-03-01,Paya Lebar,Max Humidity,100.0
2008-03-01,Paya Lebar,Max Humidity,100.0
2008-03-02,Paya Lebar,Max Humidity,100.0
2008-03-02,Paya Lebar,Max Humidity,100.0
2008-03-02,Paya Lebar,Max Humidity,100.0
2008-03-02,Paya Lebar,Max Humidity,100.0
2008-03-02,Paya Lebar,Max Humidity,100.0
2008-03-04,Paya Lebar,Max Humidity,100.0
2008-03-04,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-05,Paya Lebar,Max Humidity,100.0
2008-03-06,Paya Lebar,Max Humidity,100.0
2008-03-06,Paya Lebar,Max Humidity,100.0
2008-03-06,Paya Lebar,Max Humidity,100.0
2008-03-06,Paya Lebar,Max Humidity,100.0
2008-03-07,Paya Lebar,Max Humidity,100.0
2008-03-07,Paya Lebar,Max Humidity,100.0
2008-03-07,Paya Lebar,Max Humidity,100.0
2008-03-07,Paya Lebar,Max Humidity,100.0
2008-03-09,Paya Lebar,Max Humidity,100.0
2008-03-10,Paya Lebar,Max Humidity,100.0
2008-03-10,Paya Lebar,Max Humidity,100.0
2008-03-10,Paya Lebar,Max Humidity,100.0
2008-03-11,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-12,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-13,Paya Lebar,Max Humidity,100.0
2008-03-14,Paya Lebar,Max Humidity,100.0
2008-03-14,Paya Lebar,Max Humidity,100.0
2008-03-14,Paya Lebar,Min Temperature,22.0
2008-03-14,Paya Lebar,Min Temperature,22.0
2008-03-15,Paya Lebar,Max Humidity,100.0
2008-03-17,Paya Lebar,Max Humidity,100.0
2008-03-21,Paya Lebar,Max Humidity,100.0
2008-03-22,Paya Lebar,Max Humidity,100.0
